"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"35V6uT_BzwKvPZ1wkdVc9g/GGqiclKUTLWu2NNVmV5H3g","human-bot","Small",2,1,118,59,0.305084745762711,68,50,0,0,25,0,25,0,0,20,30
"3fa6t1_rA76z0ctbksVa4g/GfIwhFCOo1NjJHOk2LzVRQ","human","Medium",4,0,164,41,0.585365853658536,163,1,0,0,0,0,0,0,0,NA,NA
"3ke05GPtToSiU8bp1BKugA/BG1HZyz2IS0gHW6LDBkecw","human","Large",16,0,77,4.8125,0.431006493506493,76,1,0,0,0,0,0,0,0,NA,NA
"3kxNLliWxuuskyxXPMhm9w/cUJHhJ8OwSG-iDYoeBPbFw","human-bot","Small",2,1,187,93.5,0.494652406417112,101,82,4,0,118,21,93,4,0,9,13
"3OtEVNe6bxiTwzM4MtGmjg/kiAruHjd00pLEUPZu0KN4A","human-bot","Small",3,1,283,94.3333333333333,0.249705535924617,245,38,0,0,32,0,32,0,0,14,68
"3OtEVNe6bxiTwzM4MtGmjg/XXFrO9qc_2y9Jmohv_Kr_g","human-bot","Small",2,1,98,49,0.142857142857142,95,3,0,0,26,0,26,0,0,45,66
"3VFbLRx-am2PA7KH0P_qQQ/0LXuEXZJJT61w5FBbuUCPg","human-bot","Small",2,1,172,86,0.331395348837209,2,57,113,0,50,28,22,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/7F-Hh03JukUgjbUsy4c4zw","human-bot","Small",2,1,116,58,0.103448275862068,0,16,100,0,22,13,9,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/80s2Rw6RQNhfx0QKHYY0Og","human-bot","Small",2,1,7,3.5,0.0714285714285714,6,1,0,0,5,3,2,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/EZA2kuUiwXuUc8h7BUjJSA","human","Small",2,0,56,28,0.178571428571428,1,1,54,0,0,0,0,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/h2cjH2lDv08501L2nUq0gA","human-bot","Small",2,1,35,17.5,0.414285714285714,3,1,31,0,7,5,2,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/hnyLeQ1tub2Ldkc3XARojA","human-bot","Small",2,1,168,84,0.398809523809523,4,12,152,0,49,27,22,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/jdqPemElLcYFe-wbv9lYZw","human-bot","Small",2,1,49,24.5,0.0306122448979591,0,0,49,0,13,8,5,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/JhvGB8Nzuc1DqysPsJ_2EA","human-bot","Small",2,1,79,39.5,0.322784810126582,1,0,78,0,8,5,3,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/jRFtt8gCnrrnXVi1aCuJPA","human-bot","Small",2,1,68,34,0.323529411764705,0,0,68,0,14,10,4,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/lDpqgADYZ-cd94LCBmpXRQ","human-bot","Small",2,1,241,120.5,0.188796680497925,0,63,178,0,42,25,17,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/pyckoTxBiRKtLy5XOfeHjw","human-bot","Small",2,1,60,30,0.3,1,4,55,0,111,59,52,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/SF6jFznY577wu0f-ns_e5Q","human-bot","Small",3,1,85,28.3333333333333,0.156862745098039,1,1,83,0,43,25,18,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/Tf-wATIP_SnbldRiA7kjtg","human-bot","Small",2,1,16,8,0.4375,16,0,0,0,5,1,4,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/We_P2cNoVATOmmEmulOuxQ","human-bot","Small",2,1,20,10,0.45,7,4,9,0,46,24,22,0,0,NA,NA
"3VFbLRx-am2PA7KH0P_qQQ/z_6kItfOPnyU90WjRCHxPA","human-bot","Small",2,1,39,19.5,0.141025641025641,0,0,39,0,12,7,5,0,0,NA,NA
"3XrLSmvDP6ADhv8T8pBHlg/JWel7JcF63rCyYQDPgYYnQ","human-bot","Small",3,1,70,23.3333333333333,0.38095238095238,54,11,5,0,15,0,15,0,0,NA,NA
"3z53uINAmVsEcPTcpD4Plw/gLii5wLAk2cRP-CoNl0m5A","human-bot","Medium",4,1,958,239.5,0.366910229645094,665,217,76,0,111,0,111,0,0,20,152
"42X3gXzTUtWu7D2R0p8lEw/3J9drqcA26x4toNStyqgDw","human","Small",3,0,139,46.3333333333333,0.302158273381295,74,3,62,0,0,0,0,0,0,NA,NA
"42X3gXzTUtWu7D2R0p8lEw/vDHal_J7966I1-tutxcNrA","human-bot","Large",10,1,287,28.7,0.61567944250871,135,145,7,0,80,0,80,0,0,6,125
"4bzOzx-_iEqw2tTZAGgCBQ/o5j7d9925hU99XzWX9CnxQ","human","Small",2,0,93,46.5,0.188172043010752,47,28,18,0,0,0,0,0,0,NA,NA
"4dO3yq3t4lsqqmKktewD8w/pJkzyFQpLNKrBWc4kAwOYg","human","Small",2,0,51,25.5,0.441176470588235,49,2,0,0,0,0,0,0,0,NA,NA
"4O_VHaTKJVlsJzbOStcZkQ/iLtFn37ZJBODy7rqkrNvlA","human","Small",3,0,29,9.66666666666666,0.114942528735632,29,0,0,0,0,0,0,0,0,NA,NA
